"Tabela 3573 - Pessoas de 10 anos ou mais de idade, por condição de atividade e de ocupação na semana de referência, segundo o sexo, a condição no domicílio e o compartilhamento da responsabilidade pelo domicílio, a naturalidade em relação ao município e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"2102374","Cachoeira Grande (MA)","Total","Total","138"
"2102408","Cajapió (MA)","Total","Total","379"
"2102507","Cajari (MA)","Total","Total","190"
"2102556","Campestre do Maranhão (MA)","Total","Total","508"
"2102606","Cândido Mendes (MA)","Total","Total","288"
"2102705","Cantanhede (MA)","Total","Total","701"
"2102754","Capinzal do Norte (MA)","Total","Total","133"
"2102804","Carolina (MA)","Total","Total","547"
"2102903","Carutapera (MA)","Total","Total","684"
"2103000","Caxias (MA)","Total","Total","4672"
"2103109","Cedral (MA)","Total","Total","256"
"2103125","Central do Maranhão (MA)","Total","Total","114"
"2103158","Centro do Guilherme (MA)","Total","Total","178"
"2103174","Centro Novo do Maranhão (MA)","Total","Total","593"
"2103208","Chapadinha (MA)","Total","Total","1861"
"2103257","Cidelândia (MA)","Total","Total","310"
"2103307","Codó (MA)","Total","Total","3640"
"2103406","Coelho Neto (MA)","Total","Total","1731"
"2103505","Colinas (MA)","Total","Total","1052"
"2103554","Conceição do Lago-Açu (MA)","Total","Total","129"
"2103604","Coroatá (MA)","Total","Total","1855"
"2103703","Cururupu (MA)","Total","Total","724"
"2103752","Davinópolis (MA)","Total","Total","285"
"2103802","Dom Pedro (MA)","Total","Total","515"
"2103901","Duque Bacelar (MA)","Total","Total","193"
"2104008","Esperantinópolis (MA)","Total","Total","1226"
"2104057","Estreito (MA)","Total","Total","820"
"2104073","Feira Nova do Maranhão (MA)","Total","Total","173"
"2104081","Fernando Falcão (MA)","Total","Total","369"
"2104099","Formosa da Serra Negra (MA)","Total","Total","512"
"2104107","Fortaleza dos Nogueiras (MA)","Total","Total","443"
"2104206","Fortuna (MA)","Total","Total","277"
"2104305","Godofredo Viana (MA)","Total","Total","525"
"2104404","Gonçalves Dias (MA)","Total","Total","235"
"2104503","Governador Archer (MA)","Total","Total","270"
"2104552","Governador Edison Lobão (MA)","Total","Total","809"
"2104602","Governador Eugênio Barros (MA)","Total","Total","243"
"2104628","Governador Luiz Rocha (MA)","Total","Total","100"
"2104651","Governador Newton Bello (MA)","Total","Total","459"
"2104677","Governador Nunes Freire (MA)","Total","Total","973"
"2104701","Graça Aranha (MA)","Total","Total","164"
"2104800","Grajaú (MA)","Total","Total","1724"
"2104909","Guimarães (MA)","Total","Total","181"
"2105005","Humberto de Campos (MA)","Total","Total","716"
"2105104","Icatu (MA)","Total","Total","1081"
"2105153","Igarapé do Meio (MA)","Total","Total","445"
"2105203","Igarapé Grande (MA)","Total","Total","226"
"2105302","Imperatriz (MA)","Total","Total","9654"
"2105351","Itaipava do Grajaú (MA)","Total","Total","639"
"2105401","Itapecuru Mirim (MA)","Total","Total","1363"
"2105427","Itinga do Maranhão (MA)","Total","Total","865"
"2105450","Jatobá (MA)","Total","Total","246"
"2105476","Jenipapo dos Vieiras (MA)","Total","Total","205"
"2105500","João Lisboa (MA)","Total","Total","537"
"2105609","Joselândia (MA)","Total","Total","110"
"2105658","Junco do Maranhão (MA)","Total","Total","49"
"2105708","Lago da Pedra (MA)","Total","Total","1096"
"2105807","Lago do Junco (MA)","Total","Total","269"
"2105906","Lago Verde (MA)","Total","Total","274"
"2105922","Lagoa do Mato (MA)","Total","Total","245"
"2105948","Lago dos Rodrigues (MA)","Total","Total","72"
"2105963","Lagoa Grande do Maranhão (MA)","Total","Total","194"
"2105989","Lajeado Novo (MA)","Total","Total","148"
"2106003","Lima Campos (MA)","Total","Total","134"
"2106102","Loreto (MA)","Total","Total","202"
"2106201","Luís Domingues (MA)","Total","Total","65"
"2106300","Magalhães de Almeida (MA)","Total","Total","757"
"2106326","Maracaçumé (MA)","Total","Total","758"
"2106359","Marajá do Sena (MA)","Total","Total","342"
"2106375","Maranhãozinho (MA)","Total","Total","567"
"2106409","Mata Roma (MA)","Total","Total","285"
"2106508","Matinha (MA)","Total","Total","564"
"2106607","Matões (MA)","Total","Total","406"
"2106631","Matões do Norte (MA)","Total","Total","708"
"2106672","Milagres do Maranhão (MA)","Total","Total","501"
"2106706","Mirador (MA)","Total","Total","260"
"2106755","Miranda do Norte (MA)","Total","Total","976"
"2106805","Mirinzal (MA)","Total","Total","513"
"2106904","Monção (MA)","Total","Total","521"
"2107001","Montes Altos (MA)","Total","Total","403"
"2107100","Morros (MA)","Total","Total","389"
"2107209","Nina Rodrigues (MA)","Total","Total","227"
"2107258","Nova Colinas (MA)","Total","Total","128"
"2107308","Nova Iorque (MA)","Total","Total","108"
"2107357","Nova Olinda do Maranhão (MA)","Total","Total","451"
"2107407","Olho d'Água das Cunhãs (MA)","Total","Total","185"
"2107456","Olinda Nova do Maranhão (MA)","Total","Total","297"
"2107506","Paço do Lumiar (MA)","Total","Total","5035"
"2107605","Palmeirândia (MA)","Total","Total","387"
"2107704","Paraibano (MA)","Total","Total","607"
"2107803","Parnarama (MA)","Total","Total","859"
"2107902","Passagem Franca (MA)","Total","Total","552"
"2108009","Pastos Bons (MA)","Total","Total","356"
"2108058","Paulino Neves (MA)","Total","Total","236"
"2108108","Paulo Ramos (MA)","Total","Total","576"
"2108207","Pedreiras (MA)","Total","Total","1478"
"2108256","Pedro do Rosário (MA)","Total","Total","477"
"2108306","Penalva (MA)","Total","Total","782"
"2108405","Peri Mirim (MA)","Total","Total","344"
"2108454","Peritoró (MA)","Total","Total","605"
"2108504","Pindaré-Mirim (MA)","Total","Total","971"
"2108603","Pinheiro (MA)","Total","Total","1926"
"2108702","Pio XII (MA)","Total","Total","413"
"2108801","Pirapemas (MA)","Total","Total","284"
"2108900","Poção de Pedras (MA)","Total","Total","319"
"2109007","Porto Franco (MA)","Total","Total","814"
"2109056","Porto Rico do Maranhão (MA)","Total","Total","15"
"2109106","Presidente Dutra (MA)","Total","Total","1166"
"2109205","Presidente Juscelino (MA)","Total","Total","391"
"2109239","Presidente Médici (MA)","Total","Total","154"
"2109270","Presidente Sarney (MA)","Total","Total","300"
"2109304","Presidente Vargas (MA)","Total","Total","234"
"2109403","Primeira Cruz (MA)","Total","Total","147"
"2109452","Raposa (MA)","Total","Total","1159"
"2109502","Riachão (MA)","Total","Total","477"
"2109551","Ribamar Fiquene (MA)","Total","Total","532"
"2109601","Rosário (MA)","Total","Total","1701"
"2109700","Sambaíba (MA)","Total","Total","177"
"2109759","Santa Filomena do Maranhão (MA)","Total","Total","366"
"2109809","Santa Helena (MA)","Total","Total","1475"
"2109908","Santa Inês (MA)","Total","Total","2722"
"2110005","Santa Luzia (MA)","Total","Total","1544"
"2110039","Santa Luzia do Paruá (MA)","Total","Total","784"
"2110104","Santa Quitéria do Maranhão (MA)","Total","Total","726"
"2110203","Santa Rita (MA)","Total","Total","1327"
"2110237","Santana do Maranhão (MA)","Total","Total","282"
"2110278","Santo Amaro do Maranhão (MA)","Total","Total","301"
"2110302","Santo Antônio dos Lopes (MA)","Total","Total","448"
"2110401","São Benedito do Rio Preto (MA)","Total","Total","283"
"2110500","São Bento (MA)","Total","Total","1694"
"2110609","São Bernardo (MA)","Total","Total","693"
"2110658","São Domingos do Azeitão (MA)","Total","Total","179"
"2110708","São Domingos do Maranhão (MA)","Total","Total","563"
"2110807","São Félix de Balsas (MA)","Total","Total","82"
"2110856","São Francisco do Brejão (MA)","Total","Total","247"
"2110906","São Francisco do Maranhão (MA)","Total","Total","109"
"2111003","São João Batista (MA)","Total","Total","584"
"2111029","São João do Carú (MA)","Total","Total","263"
"2111052","São João do Paraíso (MA)","Total","Total","124"
"2111078","São João do Soter (MA)","Total","Total","238"
"2111102","São João dos Patos (MA)","Total","Total","773"
"2111201","São José de Ribamar (MA)","Total","Total","8373"
"2111250","São José dos Basílios (MA)","Total","Total","116"
"2111300","São Luís (MA)","Total","Total","60415"
"2111409","São Luís Gonzaga do Maranhão (MA)","Total","Total","243"
"2111508","São Mateus do Maranhão (MA)","Total","Total","1865"
"2111532","São Pedro da Água Branca (MA)","Total","Total","660"
"2111573","São Pedro dos Crentes (MA)","Total","Total","65"
"2111607","São Raimundo das Mangabeiras (MA)","Total","Total","556"
"2111631","São Raimundo do Doca Bezerra (MA)","Total","Total","58"
"2111672","São Roberto (MA)","Total","Total","92"
"2111706","São Vicente Ferrer (MA)","Total","Total","300"
"2111722","Satubinha (MA)","Total","Total","67"
"2111748","Senador Alexandre Costa (MA)","Total","Total","202"
"2111763","Senador La Rocque (MA)","Total","Total","488"
"2111789","Serrano do Maranhão (MA)","Total","Total","141"
"2111805","Sítio Novo (MA)","Total","Total","127"
"2111904","Sucupira do Norte (MA)","Total","Total","212"
"2111953","Sucupira do Riachão (MA)","Total","Total","40"
"2112001","Tasso Fragoso (MA)","Total","Total","185"
"2112100","Timbiras (MA)","Total","Total","494"
"2112209","Timon (MA)","Total","Total","5054"
"2112233","Trizidela do Vale (MA)","Total","Total","377"
"2112274","Tufilândia (MA)","Total","Total","156"
"2112308","Tuntum (MA)","Total","Total","1021"
"2112407","Turiaçu (MA)","Total","Total","842"
"2112456","Turilândia (MA)","Total","Total","656"
"2112506","Tutóia (MA)","Total","Total","872"
"2112605","Urbano Santos (MA)","Total","Total","512"
"2112704","Vargem Grande (MA)","Total","Total","1736"
"2112803","Viana (MA)","Total","Total","1288"
"2112852","Vila Nova dos Martírios (MA)","Total","Total","483"
"2112902","Vitória do Mearim (MA)","Total","Total","634"
"2113009","Vitorino Freire (MA)","Total","Total","618"
"2114007","Zé Doca (MA)","Total","Total","1233"
"2200053","Acauã (PI)","Total","Total","120"
"2200103","Agricolândia (PI)","Total","Total","71"
"2200202","Água Branca (PI)","Total","Total","398"
"2200251","Alagoinha do Piauí (PI)","Total","Total","114"
"2200277","Alegrete do Piauí (PI)","Total","Total","277"
"2200301","Alto Longá (PI)","Total","Total","292"
"2200400","Altos (PI)","Total","Total","1017"
"2200459","Alvorada do Gurguéia (PI)","Total","Total","168"
"2200509","Amarante (PI)","Total","Total","340"
"2200608","Angical do Piauí (PI)","Total","Total","179"
"2200707","Anísio de Abreu (PI)","Total","Total","287"
"2200806","Antônio Almeida (PI)","Total","Total","158"
"2200905","Aroazes (PI)","Total","Total","208"
"2200954","Aroeiras do Itaim (PI)","Total","Total","165"
"2201002","Arraial (PI)","Total","Total","64"
"2201051","Assunção do Piauí (PI)","Total","Total","380"
"2201101","Avelino Lopes (PI)","Total","Total","445"
"2201150","Baixa Grande do Ribeiro (PI)","Total","Total","504"
"2201176","Barra D'Alcântara (PI)","Total","Total","119"
"2201200","Barras (PI)","Total","Total","832"
"2201309","Barreiras do Piauí (PI)","Total","Total","72"
"2201408","Barro Duro (PI)","Total","Total","198"
"2201507","Batalha (PI)","Total","Total","508"
"2201556","Bela Vista do Piauí (PI)","Total","Total","89"
"2201572","Belém do Piauí (PI)","Total","Total","97"
"2201606","Beneditinos (PI)","Total","Total","102"
"2201705","Bertolínia (PI)","Total","Total","297"
"2201739","Betânia do Piauí (PI)","Total","Total","125"
"2201770","Boa Hora (PI)","Total","Total","138"
"2201804","Bocaina (PI)","Total","Total","133"
"2201903","Bom Jesus (PI)","Total","Total","709"
"2201919","Bom Princípio do Piauí (PI)","Total","Total","49"
"2201929","Bonfim do Piauí (PI)","Total","Total","111"
"2201945","Boqueirão do Piauí (PI)","Total","Total","161"
"2201960","Brasileira (PI)","Total","Total","121"
"2201988","Brejo do Piauí (PI)","Total","Total","140"
"2202000","Buriti dos Lopes (PI)","Total","Total","615"
"2202026","Buriti dos Montes (PI)","Total","Total","151"
"2202059","Cabeceiras do Piauí (PI)","Total","Total","203"
"2202075","Cajazeiras do Piauí (PI)","Total","Total","186"
"2202083","Cajueiro da Praia (PI)","Total","Total","134"
"2202091","Caldeirão Grande do Piauí (PI)","Total","Total","58"
"2202109","Campinas do Piauí (PI)","Total","Total","64"
"2202117","Campo Alegre do Fidalgo (PI)","Total","Total","583"
"2202133","Campo Grande do Piauí (PI)","Total","Total","163"
"2202174","Campo Largo do Piauí (PI)","Total","Total","73"
"2202208","Campo Maior (PI)","Total","Total","1606"
"2202251","Canavieira (PI)","Total","Total","243"
"2202307","Canto do Buriti (PI)","Total","Total","789"
"2202406","Capitão de Campos (PI)","Total","Total","173"
"2202455","Capitão Gervásio Oliveira (PI)","Total","Total","53"
"2202505","Caracol (PI)","Total","Total","350"
"2202539","Caraúbas do Piauí (PI)","Total","Total","34"
"2202554","Caridade do Piauí (PI)","Total","Total","164"
"2202604","Castelo do Piauí (PI)","Total","Total","519"
"2202653","Caxingó (PI)","Total","Total","77"
"2202703","Cocal (PI)","Total","Total","530"
"2202711","Cocal de Telha (PI)","Total","Total","184"
"2202729","Cocal dos Alves (PI)","Total","Total","48"
"2202737","Coivaras (PI)","Total","Total","70"
"2202752","Colônia do Gurguéia (PI)","Total","Total","189"
"2202778","Colônia do Piauí (PI)","Total","Total","101"
"2202802","Conceição do Canindé (PI)","Total","Total","79"
"2202851","Coronel José Dias (PI)","Total","Total","160"
"2202901","Corrente (PI)","Total","Total","1030"
"2203008","Cristalândia do Piauí (PI)","Total","Total","160"
"2203107","Cristino Castro (PI)","Total","Total","231"
"2203206","Curimatá (PI)","Total","Total","298"
"2203230","Currais (PI)","Total","Total","123"
"2203255","Curralinhos (PI)","Total","Total","120"
"2203271","Curral Novo do Piauí (PI)","Total","Total","54"
"2203305","Demerval Lobão (PI)","Total","Total","516"
"2203354","Dirceu Arcoverde (PI)","Total","Total","243"
"2203404","Dom Expedito Lopes (PI)","Total","Total","253"
"2203420","Domingos Mourão (PI)","Total","Total","55"
"2203453","Dom Inocêncio (PI)","Total","Total","140"
"2203503","Elesbão Veloso (PI)","Total","Total","277"
"2203602","Eliseu Martins (PI)","Total","Total","117"
"2203701","Esperantina (PI)","Total","Total","1082"
"2203750","Fartura do Piauí (PI)","Total","Total","105"
"2203800","Flores do Piauí (PI)","Total","Total","156"
"2203859","Floresta do Piauí (PI)","Total","Total","47"
"2203909","Floriano (PI)","Total","Total","1778"
"2204006","Francinópolis (PI)","Total","Total","216"
"2204105","Francisco Ayres (PI)","Total","Total","53"
"2204154","Francisco Macedo (PI)","Total","Total","173"
"2204204","Francisco Santos (PI)","Total","Total","218"
"2204303","Fronteiras (PI)","Total","Total","433"
"2204352","Geminiano (PI)","Total","Total","181"
"2204402","Gilbués (PI)","Total","Total","268"
"2204501","Guadalupe (PI)","Total","Total","302"
"2204550","Guaribas (PI)","Total","Total","139"
"2204600","Hugo Napoleão (PI)","Total","Total","106"
"2204659","Ilha Grande (PI)","Total","Total","234"
"2204709","Inhuma (PI)","Total","Total","251"
"2204808","Ipiranga do Piauí (PI)","Total","Total","340"
"2204907","Isaías Coelho (PI)","Total","Total","128"
"2205003","Itainópolis (PI)","Total","Total","243"
"2205102","Itaueira (PI)","Total","Total","273"
"2205151","Jacobina do Piauí (PI)","Total","Total","267"
"2205201","Jaicós (PI)","Total","Total","403"
"2205250","Jardim do Mulato (PI)","Total","Total","112"
"2205276","Jatobá do Piauí (PI)","Total","Total","28"
"2205300","Jerumenha (PI)","Total","Total","185"
"2205359","João Costa (PI)","Total","Total","71"
"2205409","Joaquim Pires (PI)","Total","Total","221"
"2205458","Joca Marques (PI)","Total","Total","19"
"2205508","José de Freitas (PI)","Total","Total","1261"
"2205516","Juazeiro do Piauí (PI)","Total","Total","124"
"2205524","Júlio Borges (PI)","Total","Total","80"
"2205532","Jurema (PI)","Total","Total","237"
"2205540","Lagoinha do Piauí (PI)","Total","Total","21"
"2205557","Lagoa Alegre (PI)","Total","Total","298"
"2205565","Lagoa do Barro do Piauí (PI)","Total","Total","73"
"2205573","Lagoa de São Francisco (PI)","Total","Total","91"
"2205581","Lagoa do Piauí (PI)","Total","Total","76"
"2205599","Lagoa do Sítio (PI)","Total","Total","223"
"2205607","Landri Sales (PI)","Total","Total","51"
"2205706","Luís Correia (PI)","Total","Total","861"
"2205805","Luzilândia (PI)","Total","Total","356"
"2205854","Madeiro (PI)","Total","Total","110"
"2205904","Manoel Emídio (PI)","Total","Total","70"
"2205953","Marcolândia (PI)","Total","Total","98"
"2206001","Marcos Parente (PI)","Total","Total","234"
"2206050","Massapê do Piauí (PI)","Total","Total","189"
"2206100","Matias Olímpio (PI)","Total","Total","217"
"2206209","Miguel Alves (PI)","Total","Total","645"
"2206308","Miguel Leão (PI)","Total","Total","13"
"2206357","Milton Brandão (PI)","Total","Total","194"
"2206407","Monsenhor Gil (PI)","Total","Total","392"
"2206506","Monsenhor Hipólito (PI)","Total","Total","47"
"2206605","Monte Alegre do Piauí (PI)","Total","Total","365"
"2206654","Morro Cabeça no Tempo (PI)","Total","Total","44"
"2206670","Morro do Chapéu do Piauí (PI)","Total","Total","113"
"2206696","Murici dos Portelas (PI)","Total","Total","187"
"2206704","Nazaré do Piauí (PI)","Total","Total","164"
"2206720","Nazária (PI)","Total","Total","285"
"2206753","Nossa Senhora de Nazaré (PI)","Total","Total","211"
"2206803","Nossa Senhora dos Remédios (PI)","Total","Total","103"
"2206902","Novo Oriente do Piauí (PI)","Total","Total","331"
"2206951","Novo Santo Antônio (PI)","Total","Total","24"
