"Tabela 3573 - Pessoas de 10 anos ou mais de idade, por condição de atividade e de ocupação na semana de referência, segundo o sexo, a condição no domicílio e o compartilhamento da responsabilidade pelo domicílio, a naturalidade em relação ao município e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"1721109","Tocantínia (TO)","Total","Total","153"
"1721208","Tocantinópolis (TO)","Total","Total","944"
"1721257","Tupirama (TO)","Total","Total","50"
"1721307","Tupiratins (TO)","Total","Total","63"
"1722081","Wanderlândia (TO)","Total","Total","254"
"1722107","Xambioá (TO)","Total","Total","588"
"2100055","Açailândia (MA)","Total","Total","4849"
"2100105","Afonso Cunha (MA)","Total","Total","153"
"2100154","Água Doce do Maranhão (MA)","Total","Total","202"
"2100204","Alcântara (MA)","Total","Total","553"
"2100303","Aldeias Altas (MA)","Total","Total","889"
"2100402","Altamira do Maranhão (MA)","Total","Total","185"
"2100436","Alto Alegre do Maranhão (MA)","Total","Total","921"
"2100477","Alto Alegre do Pindaré (MA)","Total","Total","810"
"2100501","Alto Parnaíba (MA)","Total","Total","564"
"2100550","Amapá do Maranhão (MA)","Total","Total","226"
"2100600","Amarante do Maranhão (MA)","Total","Total","823"
"2100709","Anajatuba (MA)","Total","Total","922"
"2100808","Anapurus (MA)","Total","Total","444"
"2100832","Apicum-Açu (MA)","Total","Total","174"
"2100873","Araguanã (MA)","Total","Total","221"
"2100907","Araioses (MA)","Total","Total","954"
"2100956","Arame (MA)","Total","Total","782"
"2101004","Arari (MA)","Total","Total","709"
"2101103","Axixá (MA)","Total","Total","251"
"2101202","Bacabal (MA)","Total","Total","3464"
"2101251","Bacabeira (MA)","Total","Total","589"
"2101301","Bacuri (MA)","Total","Total","491"
"2101350","Bacurituba (MA)","Total","Total","99"
"2101400","Balsas (MA)","Total","Total","2594"
"2101509","Barão de Grajaú (MA)","Total","Total","483"
"2101608","Barra do Corda (MA)","Total","Total","2302"
"2101707","Barreirinhas (MA)","Total","Total","1307"
"2101731","Belágua (MA)","Total","Total","94"
"2101772","Bela Vista do Maranhão (MA)","Total","Total","386"
"2101806","Benedito Leite (MA)","Total","Total","249"
"2101905","Bequimão (MA)","Total","Total","449"
"2101939","Bernardo do Mearim (MA)","Total","Total","101"
"2101970","Boa Vista do Gurupi (MA)","Total","Total","156"
"2102002","Bom Jardim (MA)","Total","Total","658"
"2102036","Bom Jesus das Selvas (MA)","Total","Total","1333"
"2102077","Bom Lugar (MA)","Total","Total","1266"
"2102101","Brejo (MA)","Total","Total","568"
"2102150","Brejo de Areia (MA)","Total","Total","168"
"2102200","Buriti (MA)","Total","Total","614"
"2102309","Buriti Bravo (MA)","Total","Total","515"
"2102325","Buriticupu (MA)","Total","Total","2035"
"2102358","Buritirana (MA)","Total","Total","299"
