"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"1300805004","Cristo Rei - Borba (AM)","Total","Total","454","443","-","11","-","-"
"1300805005","Recreio - Borba (AM)","Total","Total","892","892","-","-","-","-"
"1301001001","Centro - Carauari (AM)","Total","Total","1169","1161","-","7","1","-"
"1301001002","Fátima - Carauari (AM)","Total","Total","1124","1124","-","-","-","-"
"1301001003","Samuel Amaral - Carauari (AM)","Total","Total","1307","1303","1","-","3","-"
"1301001004","Nova República - Carauari (AM)","Total","Total","545","545","-","-","-","-"
"1301100001","Urbano Centro - Careiro (AM)","Total","Total","599","580","-","3","16","-"
"1301100002","Urbano Vista Alegre - Careiro (AM)","Total","Total","304","260","-","28","16","-"
"1301100003","Urbano Horizonte - Careiro (AM)","Total","Total","874","819","-","48","7","-"
"1301100004","Urbano Industrial - Careiro (AM)","Total","Total","15","15","-","-","-","-"
"1301100005","Urbano Sebastião Borges - Careiro (AM)","Total","Total","486","486","-","-","-","-"
"1301209001","Do Pera - Coari (AM)","Total","Total","758","735","3","14","6","-"
"1301209002","Chagas Aguiar - Coari (AM)","Total","Total","1262","1159","3","70","30","-"
"1301209003","Santa Helena - Coari (AM)","Total","Total","683","643","-","38","2","-"
"1301209004","Duque de Caxias - Coari (AM)","Total","Total","603","575","2","18","8","-"
"1301209005","Itamarati - Coari (AM)","Total","Total","1159","1110","-","38","11","-"
"1301209006","Santa Efigênia - Coari (AM)","Total","Total","627","614","1","10","2","-"
"1301209007","União - Coari (AM)","Total","Total","1439","1379","16","20","24","-"
"1301209008","Urucu - Coari (AM)","Total","Total","1260","1207","5","16","32","-"
