"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"1301209009","Espírito Santo - Coari (AM)","Total","Total","563","531","1","25","6","-"
"1301209010","Tauá Mirim - Coari (AM)","Total","Total","1000","940","-","56","4","-"
"1301209011","Centro - Coari (AM)","Total","Total","1028","919","1","100","8","-"
"1301407001","Centro - Eirunepé (AM)","Total","Total","279","265","-","14","-","-"
"1301407002","Nossa Senhora do Perpétuo Socorro - Eirunepé (AM)","Total","Total","657","656","-","-","1","-"
"1301407003","Santo Antônio - Eirunepé (AM)","Total","Total","900","892","1","1","6","-"
"1301407004","Nossa Senhora Aparecida - Eirunepé (AM)","Total","Total","501","498","1","2","-","-"
"1301407005","Nossa Senhora de Fátima - Eirunepé (AM)","Total","Total","1888","1857","1","10","20","-"
"1301407006","São José - Eirunepé (AM)","Total","Total","419","411","1","-","7","-"
"1301704001","São Domingos Sávio - Humaitá (AM)","Total","Total","768","692","46","30","-","-"
"1301704002","Nova Humaitá - Humaitá (AM)","Total","Total","1181","1110","2","68","1","-"
"1301704003","São Pedro - Humaitá (AM)","Total","Total","467","419","2","44","2","-"
"1301704004","São Sebastião - Humaitá (AM)","Total","Total","311","307","1","2","1","-"
"1301704005","São Francisco - Humaitá (AM)","Total","Total","821","812","2","7","-","-"
"1301704006","Santo Antônio - Humaitá (AM)","Total","Total","522","520","-","-","2","-"
"1301704007","Novo Centenário - Humaitá (AM)","Total","Total","263","260","1","2","-","-"
"1301704008","São José - Humaitá (AM)","Total","Total","240","235","2","3","-","-"
"1301704009","Centro - Humaitá (AM)","Total","Total","514","422","2","88","2","-"
"1301704010","São Cristóvão - Humaitá (AM)","Total","Total","974","920","2","52","-","-"
"1301704011","Nossa Senhora do Carmo - Humaitá (AM)","Total","Total","512","509","-","3","-","-"
"1301704012","Divino Pranto - Humaitá (AM)","Total","Total","345","332","-","12","1","-"
"1301704013","Nova Esperança - Humaitá (AM)","Total","Total","103","100","-","3","-","-"
"1301902001","Centro - Itacoatiara (AM)","Total","Total","750","720","5","25","-","-"
"1301902002","Colônia - Itacoatiara (AM)","Total","Total","645","636","-","9","-","-"
"1301902003","Jauary - Itacoatiara (AM)","Total","Total","1286","1210","9","66","1","-"
"1301902004","Prainha - Itacoatiara (AM)","Total","Total","586","581","-","5","-","-"
"1301902005","Pedreiras - Itacoatiara (AM)","Total","Total","345","308","-","34","3","-"
"1301902006","Do Iracy - Itacoatiara (AM)","Total","Total","1150","1042","18","86","4","-"
"1301902007","Santa Luzia - Itacoatiara (AM)","Total","Total","469","430","1","38","-","-"
"1301902008","São Jorge - Itacoatiara (AM)","Total","Total","430","418","-","12","-","-"
"1301902009","Santo Antônio - Itacoatiara (AM)","Total","Total","984","936","1","47","-","-"
"1301902010","Araújo Costa - Itacoatiara (AM)","Total","Total","467","448","-","18","1","-"
"1301902011","São Cristóvão - Itacoatiara (AM)","Total","Total","1121","1098","4","19","-","-"
"1301902012","São Francisco - Itacoatiara (AM)","Total","Total","951","936","1","14","-","-"
"1301902013","Tiradentes - Itacoatiara (AM)","Total","Total","526","503","-","21","2","-"
"1301902015","Florestal - Itacoatiara (AM)","Total","Total","139","135","-","4","-","-"
"1301902016","da Paz - Itacoatiara (AM)","Total","Total","282","282","-","-","-","-"
"1301902017","Eduardo Braga I - Itacoatiara (AM)","Total","Total","571","570","-","1","-","-"
"1301902018","Eduardo Braga II - Itacoatiara (AM)","Total","Total","495","490","1","4","-","-"
"1301902019","Mamoud Amed - Itacoatiara (AM)","Total","Total","865","860","2","-","3","-"
"1301902020","Jauary II - Itacoatiara (AM)","Total","Total","537","500","33","4","-","-"
"1301902021","Jardim Adriana - Itacoatiara (AM)","Total","Total","99","95","-","4","-","-"
"1301902022","Mutirão - Itacoatiara (AM)","Total","Total","177","164","6","7","-","-"
"1301902023","Nogueira Junior - Itacoatiara (AM)","Total","Total","228","228","-","-","-","-"
"1301902024","Jardim Lorena - Itacoatiara (AM)","Total","Total","108","108","-","-","-","-"
"1301902025","Centenário - Itacoatiara (AM)","Total","Total","21","21","-","-","-","-"
"1302405001","Bairro da Fonte - Lábrea (AM)","Total","Total","1216","1211","2","2","1","-"
"1302405002","Centro - Lábrea (AM)","Total","Total","1003","937","-","65","1","-"
"1302405003","São José - Lábrea (AM)","Total","Total","404","404","-","-","-","-"
"1302405004","Barra Limpa - Lábrea (AM)","Total","Total","548","544","2","2","-","-"
"1302405005","Nossa Senhora de Fátima - Lábrea (AM)","Total","Total","431","429","-","-","2","-"
"1302405006","Vila Falcão - Lábrea (AM)","Total","Total","1099","1099","-","-","-","-"
"1302405007","Pantanal - Lábrea (AM)","Total","Total","516","514","-","2","-","-"
"1302405008","Bairro Novo - Lábrea (AM)","Total","Total","62","62","-","-","-","-"
"1302504001","Centro - Manacapuru (AM)","Total","Total","1427","1284","4","133","6","-"
"1302504002","Aparecida - Manacapuru (AM)","Total","Total","1052","994","-","53","5","-"
"1302504003","Biribiri - Manacapuru (AM)","Total","Total","628","620","-","8","-","-"
"1302504004","Liberdade - Manacapuru (AM)","Total","Total","2374","2203","-","160","11","-"
"1302504005","Morada do Sol - Manacapuru (AM)","Total","Total","712","692","5","13","2","-"
"1302504006","São Francisco - Manacapuru (AM)","Total","Total","1092","1034","-","48","10","-"
"1302504007","São José - Manacapuru (AM)","Total","Total","2054","1872","14","155","13","-"
"1302504008","Terra Preta - Manacapuru (AM)","Total","Total","1177","1064","41","51","21","-"
"1302504009","União - Manacapuru (AM)","Total","Total","925","890","4","28","3","-"
"1302504010","Correnteza - Manacapuru (AM)","Total","Total","957","923","-","25","9","-"
"1302504011","Nova Manacá - Manacapuru (AM)","Total","Total","604","596","4","-","4","-"
"1302603001","Centro - Manaus (AM)","Total","Total","9540","5438","942","2923","237","-"
"1302603002","Nossa Senhora Aparecida - Manaus (AM)","Total","Total","1997","1416","259","268","54","-"
"1302603003","Presidente Vargas - Manaus (AM)","Total","Total","2030","1467","119","269","175","-"
"1302603004","Praça 14 de Janeiro - Manaus (AM)","Total","Total","2780","2250","270","251","9","-"
"1302603005","Cachoeirinha - Manaus (AM)","Total","Total","4783","3237","640","844","62","-"
"1302603006","São Raimundo - Manaus (AM)","Total","Total","3901","3507","76","308","10","-"
"1302603007","Glória - Manaus (AM)","Total","Total","2259","2041","42","159","17","-"
"1302603008","Santo Antônio - Manaus (AM)","Total","Total","5148","4387","307","433","21","-"
"1302603009","Vila da Prata - Manaus (AM)","Total","Total","2745","2468","63","183","31","-"
"1302603010","Compensa - Manaus (AM)","Total","Total","18568","15453","515","2346","254","-"
"1302603011","São Jorge - Manaus (AM)","Total","Total","5881","4699","427","697","58","-"
"1302603012","Santo Agostinho - Manaus (AM)","Total","Total","4336","2986","688","643","19","-"
"1302603013","Nova Esperança - Manaus (AM)","Total","Total","4554","3718","30","773","33","-"
"1302603014","Lírio do Vale - Manaus (AM)","Total","Total","5543","4498","42","903","100","-"
"1302603015","Planalto - Manaus (AM)","Total","Total","4251","3855","54","323","19","-"
"1302603016","Alvorada - Manaus (AM)","Total","Total","16716","13615","256","2599","246","-"
"1302603017","Redenção - Manaus (AM)","Total","Total","8724","7602","366","634","122","-"
"1302603018","Da Paz - Manaus (AM)","Total","Total","3972","3024","102","702","144","-"
"1302603019","Raiz - Manaus (AM)","Total","Total","3741","2960","272","457","52","-"
"1302603020","São Francisco - Manaus (AM)","Total","Total","4229","3698","97","431","3","-"
"1302603021","Petrópolis - Manaus (AM)","Total","Total","10546","9029","413","973","131","-"
"1302603022","Japiim - Manaus (AM)","Total","Total","13502","11531","201","1521","249","-"
"1302603023","Coroado - Manaus (AM)","Total","Total","13059","10985","436","1489","149","-"
"1302603024","Educandos - Manaus (AM)","Total","Total","4011","3304","150","422","135","-"
"1302603025","Santa Luzia - Manaus (AM)","Total","Total","1731","1475","68","169","19","-"
"1302603026","Morro da Liberdade - Manaus (AM)","Total","Total","3108","2727","168","207","6","-"
"1302603027","Betânia - Manaus (AM)","Total","Total","2904","2476","64","345","19","-"
"1302603028","Colônia Oliveira Machado - Manaus (AM)","Total","Total","2023","1795","146","68","14","-"
"1302603029","São Lázaro - Manaus (AM)","Total","Total","3293","2383","408","488","14","-"
"1302603030","Crespo - Manaus (AM)","Total","Total","4016","3526","75","321","94","-"
"1302603031","Vila Buriti - Manaus (AM)","Total","Total","531","135","141","255","-","-"
"1302603032","Distrito Industrial I - Manaus (AM)","Total","Total","711","615","22","35","39","-"
"1302603033","Mauazinho - Manaus (AM)","Total","Total","5582","5163","191","161","67","-"
"1302603034","Colônia Antônio Aleixo - Manaus (AM)","Total","Total","3884","3695","25","130","34","-"
"1302603035","Puraquequara - Manaus (AM)","Total","Total","1383","1354","10","6","13","-"
"1302603036","Dom Pedro I - Manaus (AM)","Total","Total","4465","3859","96","500","10","-"
"1302603037","Flores - Manaus (AM)","Total","Total","13504","9272","995","3132","105","-"
"1302603038","Parque 10 de Novembro - Manaus (AM)","Total","Total","11871","7816","513","3533","9","-"
"1302603039","Aleixo - Manaus (AM)","Total","Total","5498","3712","443","1283","60","-"
"1302603040","Adrianópolis - Manaus (AM)","Total","Total","2619","1292","78","1244","5","-"
"1302603041","Nossa Senhora das Graças - Manaus (AM)","Total","Total","4489","2565","195","1722","7","-"
"1302603042","São Geraldo - Manaus (AM)","Total","Total","2213","1637","122","432","22","-"
"1302603043","Chapada - Manaus (AM)","Total","Total","3744","1477","147","2120","-","-"
"1302603044","Colônia Santo Antônio - Manaus (AM)","Total","Total","4604","3864","204","472","64","-"
"1302603045","Novo Israel - Manaus (AM)","Total","Total","4068","3644","110","175","139","-"
"1302603046","Colônia Terra Nova - Manaus (AM)","Total","Total","11430","10380","245","674","131","-"
"1302603047","Santa Etelvina - Manaus (AM)","Total","Total","6436","5568","291","553","24","-"
"1302603048","Monte das Oliveiras - Manaus (AM)","Total","Total","9983","8977","286","649","71","-"
"1302603049","Cidade Nova - Manaus (AM)","Total","Total","31263","28149","982","1558","574","-"
"1302603050","Ponta Negra - Manaus (AM)","Total","Total","1403","708","239","451","5","-"
"1302603051","Tarumã - Manaus (AM)","Total","Total","7027","6640","109","251","27","-"
"1302603052","Armando Mendes - Manaus (AM)","Total","Total","6816","5977","95","540","204","-"
"1302603053","Zumbi dos Palmares - Manaus (AM)","Total","Total","8078","7186","270","389","233","-"
"1302603054","São José Operário - Manaus (AM)","Total","Total","16197","13950","739","1230","278","-"
"1302603055","Tancredo Neves - Manaus (AM)","Total","Total","11697","10307","519","676","195","-"
"1302603056","Jorge Teixeira - Manaus (AM)","Total","Total","27445","24701","1149","1190","405","-"
"1302603057","Distrito Industrial II - Manaus (AM)","Total","Total","1036","1027","4","5","-","-"
"1302603058","Novo Aleixo - Manaus (AM)","Total","Total","24038","21368","947","982","741","-"
"1302603059","Cidade de Deus - Manaus (AM)","Total","Total","17519","15683","598","902","336","-"
"1302603060","Nova Cidade - Manaus (AM)","Total","Total","15882","15604","109","141","28","-"
"1302603061","Tarumã-Açu - Manaus (AM)","Total","Total","3107","2877","191","24","15","-"
"1302603062","Gilberto Mestrinho - Manaus (AM)","Total","Total","13638","12653","403","430","152","-"
"1302603063","Lago Azul - Manaus (AM)","Total","Total","1872","1788","42","8","34","-"
"1302702001","Santa Luzia - Manicoré (AM)","Total","Total","841","792","2","34","13","-"
"1302702002","Dom Bosco - Manicoré (AM)","Total","Total","395","373","1","21","-","-"
"1302702003","Rocinha - Manicoré (AM)","Total","Total","56","46","10","-","-","-"
"1302702004","Manicorezinho - Manicoré (AM)","Total","Total","143","143","-","-","-","-"
"1302702005","Auxiliadora - Manicoré (AM)","Total","Total","1244","1241","1","2","-","-"
"1302702006","Mazzarelo - Manicoré (AM)","Total","Total","295","255","1","1","38","-"
"1302702007","Nossa Senhora do Rosário - Manicoré (AM)","Total","Total","331","325","2","3","1","-"
"1302702008","São Domingos Sávio - Manicoré (AM)","Total","Total","228","228","-","-","-","-"
"1302702009","Colônia da Ribeira - Manicoré (AM)","Total","Total","179","172","-","7","-","-"
"1302702010","Centro - Manicoré (AM)","Total","Total","489","485","-","3","1","-"
"1302702011","Ipasea - Manicoré (AM)","Total","Total","119","119","-","-","-","-"
"1302900001","Mário Fonseca - Maués (AM)","Total","Total","533","528","5","-","-","-"
"1302900002","Centro - Maués (AM)","Total","Total","804","777","1","10","16","-"
"1302900003","Ramalho Júnior - Maués (AM)","Total","Total","846","816","-","7","23","-"
"1302900004","Maresia - Maués (AM)","Total","Total","334","333","-","1","-","-"
"1302900005","Santa Luzia - Maués (AM)","Total","Total","1448","1435","-","13","-","-"
"1302900006","Santa Tereza - Maués (AM)","Total","Total","115","115","-","-","-","-"
"1302900007","Do eden - Maués (AM)","Total","Total","257","256","1","-","-","-"
"1302900008","Donga Michiles - Maués (AM)","Total","Total","660","653","-","2","5","-"
"1302900009","Novo Bairro - Maués (AM)","Total","Total","43","43","-","-","-","-"
"1303106001","Vale do Sol - Nova Olinda do Norte (AM)","Total","Total","328","327","1","-","-","-"
"1303106002","Santa Maria - Nova Olinda do Norte (AM)","Total","Total","371","370","-","-","1","-"
"1303106003","Chicolândia - Nova Olinda do Norte (AM)","Total","Total","444","443","-","-","1","-"
"1303106004","Santa Luzia - Nova Olinda do Norte (AM)","Total","Total","553","549","-","2","2","-"
"1303106005","Nossa Senhora de Fátima - Nova Olinda do Norte (AM)","Total","Total","373","357","-","15","1","-"
"1303106006","Aerolândia - Nova Olinda do Norte (AM)","Total","Total","409","409","-","-","-","-"
"1303106007","Centro - Nova Olinda do Norte (AM)","Total","Total","357","340","1","14","2","-"
"1303304001","Centro - Novo Aripuanã (AM)","Total","Total","506","503","1","1","1","-"
"1303304002","Dos Trabalhadores - Novo Aripuanã (AM)","Total","Total","212","212","-","-","-","-"
"1303304003","Tv - Novo Aripuanã (AM)","Total","Total","257","257","-","-","-","-"
"1303304004","Japiim - Novo Aripuanã (AM)","Total","Total","585","585","-","-","-","-"
"1303304005","Nossa Senhora da Conceição - Novo Aripuanã (AM)","Total","Total","1112","1112","-","-","-","-"
"1303403001","Centro - Parintins (AM)","Total","Total","1205","1163","1","34","7","-"
"1303403002","Francesa - Parintins (AM)","Total","Total","627","617","1","7","2","-"
"1303403003","Santa Clara - Parintins (AM)","Total","Total","369","369","-","-","-","-"
"1303403004","Raimundo Muniz - Parintins (AM)","Total","Total","229","221","-","7","1","-"
"1303403005","Santa Rita - Parintins (AM)","Total","Total","414","408","-","2","4","-"
"1303403006","Palmares - Parintins (AM)","Total","Total","1310","1227","19","26","38","-"
"1303403007","Nossa Senhora de Nazaré - Parintins (AM)","Total","Total","676","668","-","3","5","-"
"1303403008","São Vicente de Paula - Parintins (AM)","Total","Total","336","325","5","6","-","-"
"1303403009","Emílio Moreira - Parintins (AM)","Total","Total","235","235","-","-","-","-"
"1303403010","Vitória Régia - Parintins (AM)","Total","Total","346","335","3","8","-","-"
"1303403011","São Benedito - Parintins (AM)","Total","Total","883","876","-","7","-","-"
"1303403012","São José - Parintins (AM)","Total","Total","604","579","-","5","20","-"
"1303403013","João Novo - Parintins (AM)","Total","Total","250","246","-","4","-","-"
"1303403014","Dejard Vieira - Parintins (AM)","Total","Total","415","413","-","-","2","-"
"1303403015","Distrito Industrial - Parintins (AM)","Total","Total","..","..","..","..","..",".."
"1303403016","Itaúna I - Parintins (AM)","Total","Total","1079","1064","1","1","13","-"
"1303403017","Jacareacanga - Parintins (AM)","Total","Total","54","54","-","-","-","-"
"1303403018","Paulo Corrêa - Parintins (AM)","Total","Total","2795","2793","-","1","1","-"
"1303403019","Itaúna II - Parintins (AM)","Total","Total","1522","1519","-","3","-","-"
"1303403020","Castanheira - Parintins (AM)","Total","Total","96","96","-","-","-","-"
"1303536001","Centro - Presidente Figueiredo (AM)","Total","Total","444","277","14","142","11","-"
"1303536002","Honório Roldão - Presidente Figueiredo (AM)","Total","Total","302","210","2","87","3","-"
"1303536003","Tancredo Neves - Presidente Figueiredo (AM)","Total","Total","351","253","67","8","23","-"
"1303536004","Urubuí - Presidente Figueiredo (AM)","Total","Total","48","43","-","5","-","-"
"1303536005","José Dutra - Presidente Figueiredo (AM)","Total","Total","230","229","-","1","-","-"
"1303536006","Morada do Sol - Presidente Figueiredo (AM)","Total","Total","325","201","-","124","-","-"
"1303536007","Sol Nascente - Presidente Figueiredo (AM)","Total","Total","320","250","-","61","9","-"
"1303536008","Aida Mendonça - Presidente Figueiredo (AM)","Total","Total","372","337","2","31","2","-"
"1303536009","Orquídeas - Presidente Figueiredo (AM)","Total","Total","171","143","-","28","-","-"
"1303536010","Galo da Serra - Presidente Figueiredo (AM)","Total","Total","375","375","-","-","-","-"
"1303536011","Maruaga - Presidente Figueiredo (AM)","Total","Total","11","11","-","-","-","-"
"1303536012","Waimiri - Presidente Figueiredo (AM)","Total","Total","216","216","-","-","-","-"
"1303536013","Atroari - Presidente Figueiredo (AM)","Total","Total","204","204","-","-","-","-"
"1303700001","Centro - Santo Antônio do Içá (AM)","Total","Total","236","230","1","4","1","-"
"1303700002","Franco - Santo Antônio do Içá (AM)","Total","Total","39","39","-","-","-","-"
"1303700003","Independência - Santo Antônio do Içá (AM)","Total","Total","195","194","-","-","1","-"
"1303700004","Presidente Vargas - Santo Antônio do Içá (AM)","Total","Total","120","119","-","1","-","-"
"1303700005","Pataquira - Santo Antônio do Içá (AM)","Total","Total","36","36","-","-","-","-"
"1303700006","Taboca - Santo Antônio do Içá (AM)","Total","Total","172","172","-","-","-","-"
"1303700007","São Francisco - Santo Antônio do Içá (AM)","Total","Total","179","178","-","-","1","-"
"1303700008","Alvaro Maia - Santo Antônio do Içá (AM)","Total","Total","232","229","-","2","1","-"
"1303700009","Planalto - Santo Antônio do Içá (AM)","Total","Total","125","124","1","-","-","-"
"1303700010","Santa Etelvina - Santo Antônio do Içá (AM)","Total","Total","381","381","-","-","-","-"
"1303700011","Campina - Santo Antônio do Içá (AM)","Total","Total","351","350","-","1","-","-"
"1303700012","Tarauacá - Santo Antônio do Içá (AM)","Total","Total","111","111","-","-","-","-"
"1303908001","Centro - São Paulo de Olivença (AM)","Total","Total","120","118","-","2","-","-"
"1303908002","Santa Terezinha - São Paulo de Olivença (AM)","Total","Total","562","562","-","-","-","-"
"1303908003","Benjamin Constant - São Paulo de Olivença (AM)","Total","Total","58","58","-","-","-","-"
"1303908004","de Campinas - São Paulo de Olivença (AM)","Total","Total","428","426","-","2","-","-"
"1303908005","Nosso Senhor do Bonfin - São Paulo de Olivença (AM)","Total","Total","306","306","-","-","-","-"
"1303908006","São João - São Paulo de Olivença (AM)","Total","Total","225","221","-","4","-","-"
"1303908007","Colônia São Sebastião - São Paulo de Olivença (AM)","Total","Total","241","241","-","-","-","-"
"1303908008","José Carlos Mestrinho - São Paulo de Olivença (AM)","Total","Total","253","253","-","-","-","-"
"1303908009","União - São Paulo de Olivença (AM)","Total","Total","42","42","-","-","-","-"
"1304005001","Centro - Silves (AM)","Total","Total","155","154","-","1","-","-"
"1304005002","Macajatuba - Silves (AM)","Total","Total","370","369","-","1","-","-"
"1304005003","Castanheira - Silves (AM)","Total","Total","28","28","-","-","-","-"
"1304005004","Panorama - Silves (AM)","Total","Total","128","127","-","1","-","-"
"1304005005","Governador Plinio Coelho - Silves (AM)","Total","Total","123","122","1","-","-","-"
"1304005006","Vila Costa - Silves (AM)","Total","Total","73","73","-","-","-","-"
"1304401001","Centro - Urucurituba (AM)","Total","Total","293","293","-","-","-","-"
"1304401002","Aparecida - Urucurituba (AM)","Total","Total","391","389","-","1","1","-"
"1304401003","Livramento - Urucurituba (AM)","Total","Total","228","222","-","-","6","-"
"1304401004","Pedreiras - Urucurituba (AM)","Total","Total","92","92","-","-","-","-"
"1304401005","Liberdade - Urucurituba (AM)","Total","Total","254","254","-","-","-","-"
"1304401006","São Lázaro - Urucurituba (AM)","Total","Total","467","467","-","-","-","-"
"1304401007","Tabocal - Urucurituba (AM)","Total","Total","19","19","-","-","-","-"
"1400100001","Centro - Boa Vista (RR)","Total","Total","1632","1177","108","342","5","-"
