"Tabela 2031 - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência por posição na ocupação e categoria do emprego no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência (Pessoas)"
"Cód.","Município","Ano x Posição na ocupação e categoria do emprego no trabalho principal"
"Cód.","Município","2010"
"Cód.","Município","Total","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria"
"1507458","São Geraldo do Araguaia (PA)","9634","1466","605","3718","282","796","65","2703"
"1507466","São João da Ponta (PA)","2052","150","154","381","60","423","-","884"
"1507474","São João de Pirabas (PA)","6236","438","368","2011","192","1109","-","2119"
"1507508","São João do Araguaia (PA)","4457","353","307","977","303","952","7","1558"
"1507607","São Miguel do Guamá (PA)","20166","3553","1249","5529","812","1296","62","7665"
"1507706","São Sebastião da Boa Vista (PA)","7549","202","281","2078","372","645","41","3930"
"1507755","Sapucaia (PA)","2234","747","302","594","10","26","49","505"
"1507805","Senador José Porfírio (PA)","4827","203","282","1549","149","819","38","1786"
"1507904","Soure (PA)","7816","1086","645","2727","131","460","87","2680"
"1507953","Tailândia (PA)","23120","7330","400","8757","279","770","209","5377"
"1507961","Terra Alta (PA)","3319","363","339","781","308","597","12","920"
"1507979","Terra Santa (PA)","6337","1027","204","1963","224","720","106","2094"
"1508001","Tomé-Açu (PA)","21909","4628","1177","7848","784","1880","210","5381"
"1508035","Tracuateua (PA)","9846","441","281","2239","555","3059","87","3184"
"1508050","Trairão (PA)","6740","548","331","2448","317","1003","45","2048"
"1508084","Tucumã (PA)","16668","4097","576","5314","701","1060","109","4812"
"1508100","Tucuruí (PA)","37710","12225","3762","10157","299","1025","405","9838"
"1508126","Ulianópolis (PA)","13136","6363","816","3571","137","656","81","1513"
"1508159","Uruará (PA)","17683","2595","887","5501","334","2692","200","5473"
"1508209","Vigia (PA)","17595","2191","1283","6346","415","630","105","6624"
"1508308","Viseu (PA)","14923","758","1034","3358","697","3432","117","5527"
"1508357","Vitória do Xingu (PA)","5257","430","223","1554","295","889","20","1845"
"1508407","Xinguara (PA)","16909","5180","850","5563","538","392","328","4058"
"1600055","Serra do Navio (AP)","1467","453","206","421","14","86","27","260"
"1600105","Amapá (AP)","2747","429","206","847","90","306","37","832"
"1600154","Pedra Branca do Amapari (AP)","4528","1146","387","819","137","903","29","1106"
"1600204","Calçoene (AP)","3447","645","250","951","96","582","46","876"
"1600212","Cutias (AP)","1528","194","257","431","103","239","5","300"
"1600238","Ferreira Gomes (AP)","2143","443","347","651","80","230","3","389"
"1600253","Itaubal (AP)","1138","185","62","205","6","164","16","500"
"1600279","Laranjal do Jari (AP)","14707","5122","1339","4056","213","636","150","3193"
"1600303","Macapá (AP)","163617","59471","21435","37513","2778","2321","2188","37911"
"1600402","Mazagão (AP)","5836","626","414","1252","299","783","21","2442"
"1600501","Oiapoque (AP)","8304","1431","606","1818","84","1104","79","3181"
"1600535","Porto Grande (AP)","6272","1337","601","1451","48","894","21","1919"
"1600550","Pracuúba (AP)","1201","76","227","194","6","434","11","254"
"1600600","Santana (AP)","36240","12265","3699","9974","1052","882","388","7979"
"1600709","Tartarugalzinho (AP)","3983","485","60","1309","195","887","15","1031"
"1600808","Vitória do Jari (AP)","3544","954","459","1045","169","208","28","681"
"1700251","Abreulândia (TO)","1065","78","139","377","46","79","28","318"
"1700301","Aguiarnópolis (TO)","1959","761","193","536","12","147","-","309"
"1700350","Aliança do Tocantins (TO)","1997","557","226","664","48","56","16","430"
