"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Município","Sexo","Grupo de idade","2010"
"Cód.","Município","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Município","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"5001003","Aparecida do Taboado (MS)","Total","15 a 19 anos","1956","53","100","415","257","11","2","1","-","-","-","-","1117","-"
"5001003","Aparecida do Taboado (MS)","Total","15 a 17 anos","1209","49","82","214","70","3","2","1","-","-","-","-","788","-"
"5001003","Aparecida do Taboado (MS)","Total","18 ou 19 anos","747","4","18","201","187","8","-","-","-","-","-","-","329","-"
"5001003","Aparecida do Taboado (MS)","Total","20 a 24 anos","1891","22","26","495","680","95","33","12","-","-","-","-","528","-"
"5001003","Aparecida do Taboado (MS)","Total","25 a 29 anos","1937","21","32","429","746","184","81","35","3","1","-","2","403","-"
"5001003","Aparecida do Taboado (MS)","Total","30 a 34 anos","1879","23","48","429","686","147","116","63","4","3","2","2","356","-"
"5001003","Aparecida do Taboado (MS)","Total","35 a 39 anos","1677","20","44","386","553","178","114","69","6","-","2","1","304","-"
"5001003","Aparecida do Taboado (MS)","Total","40 a 44 anos","1523","22","39","329","465","147","131","83","7","5","3","3","289","-"
"5001003","Aparecida do Taboado (MS)","Total","45 a 49 anos","1365","9","36","319","371","130","115","76","4","6","2","1","296","-"
"5001003","Aparecida do Taboado (MS)","Total","50 a 54 anos","1290","19","30","318","311","117","103","66","11","6","6","1","302","-"
"5001003","Aparecida do Taboado (MS)","Total","55 a 59 anos","1084","9","35","337","263","63","81","60","11","4","4","1","216","-"
"5001003","Aparecida do Taboado (MS)","Total","60 a 69 anos","1485","5","13","748","286","102","93","69","16","11","2","4","136","-"
"5001003","Aparecida do Taboado (MS)","Total","70 anos ou mais","1149","-","2","777","206","37","34","23","6","3","2","3","56","-"
"5001102","Aquidauana (MS)","Total","10 a 14 anos","4343","213","95","62","12","-","-","2","-","-","-","-","3959","-"
"5001102","Aquidauana (MS)","Total","15 a 19 anos","4165","126","166","472","237","4","4","1","-","-","-","-","3155","-"
"5001102","Aquidauana (MS)","Total","15 a 17 anos","2563","95","101","164","57","2","1","1","-","-","-","-","2142","-"
"5001102","Aquidauana (MS)","Total","18 ou 19 anos","1602","31","65","308","180","2","3","-","-","-","-","-","1013","-"
"5001102","Aquidauana (MS)","Total","20 a 24 anos","3712","65","167","872","759","111","70","24","5","-","-","2","1637","-"
"5001102","Aquidauana (MS)","Total","25 a 29 anos","3706","99","178","886","909","195","174","80","5","4","2","1","1173","-"
"5001102","Aquidauana (MS)","Total","30 a 34 anos","3427","85","180","897","873","210","188","108","10","8","5","4","859","-"
"5001102","Aquidauana (MS)","Total","35 a 39 anos","3070","95","177","767","751","208","208","113","8","17","4","4","718","-"
"5001102","Aquidauana (MS)","Total","40 a 44 anos","2841","71","142","741","627","190","201","159","14","15","4","2","675","-"
"5001102","Aquidauana (MS)","Total","45 a 49 anos","2631","86","133","662","575","159","180","142","21","5","6","1","661","-"
"5001102","Aquidauana (MS)","Total","50 a 54 anos","2476","80","110","660","452","169","156","145","24","10","5","5","660","-"
"5001102","Aquidauana (MS)","Total","55 a 59 anos","2097","54","105","634","373","118","110","131","15","12","5","7","533","-"
"5001102","Aquidauana (MS)","Total","60 a 69 anos","2840","42","37","1301","421","155","162","130","25","20","7","9","531","-"
"5001102","Aquidauana (MS)","Total","70 anos ou mais","2460","6","10","1590","270","122","72","73","22","13","8","4","270","-"
"5001243","Aral Moreira (MS)","Total","10 a 14 anos","1214","33","26","16","1","-","-","-","-","-","-","-","1138","-"
"5001243","Aral Moreira (MS)","Total","15 a 19 anos","1037","42","75","118","48","4","-","-","-","-","-","-","750","-"
"5001243","Aral Moreira (MS)","Total","15 a 17 anos","656","28","35","48","13","-","-","-","-","-","-","-","532","-"
"5001243","Aral Moreira (MS)","Total","18 ou 19 anos","381","14","40","70","35","4","-","-","-","-","-","-","218","-"
"5001243","Aral Moreira (MS)","Total","20 a 24 anos","910","27","56","231","160","23","13","2","-","-","-","-","398","-"
"5001243","Aral Moreira (MS)","Total","25 a 29 anos","820","22","51","197","225","29","23","14","1","1","1","1","255","-"
"5001243","Aral Moreira (MS)","Total","30 a 34 anos","784","18","49","191","237","31","25","14","1","-","-","-","218","-"
"5001243","Aral Moreira (MS)","Total","35 a 39 anos","643","30","41","167","164","24","31","11","1","1","-","1","172","-"
"5001243","Aral Moreira (MS)","Total","40 a 44 anos","594","18","41","148","162","24","29","12","2","2","-","-","156","-"
"5001243","Aral Moreira (MS)","Total","45 a 49 anos","543","12","35","152","123","23","28","22","1","2","-","1","144","-"
"5001243","Aral Moreira (MS)","Total","50 a 54 anos","389","16","24","113","60","20","19","12","1","-","2","-","122","-"
"5001243","Aral Moreira (MS)","Total","55 a 59 anos","334","10","26","114","55","6","8","11","4","2","1","2","95","-"
"5001243","Aral Moreira (MS)","Total","60 a 69 anos","413","9","8","234","40","12","7","8","1","-","-","1","93","-"
"5001243","Aral Moreira (MS)","Total","70 anos ou mais","354","1","2","256","30","5","4","4","-","-","-","-","52","-"
"5001508","Bandeirantes (MS)","Total","10 a 14 anos","575","18","12","7","5","-","-","-","-","-","-","-","533","-"
"5001508","Bandeirantes (MS)","Total","15 a 19 anos","640","19","46","108","57","4","1","1","-","-","-","-","404","-"
"5001508","Bandeirantes (MS)","Total","15 a 17 anos","404","14","31","43","11","-","-","-","-","-","-","-","305","-"
"5001508","Bandeirantes (MS)","Total","18 ou 19 anos","236","5","15","65","46","4","1","1","-","-","-","-","99","-"
"5001508","Bandeirantes (MS)","Total","20 a 24 anos","495","14","24","124","146","24","12","2","-","-","-","1","148","-"
"5001508","Bandeirantes (MS)","Total","25 a 29 anos","483","12","21","103","156","38","29","7","-","-","-","2","115","-"
"5001508","Bandeirantes (MS)","Total","30 a 34 anos","459","12","21","97","163","36","25","10","2","-","1","-","92","-"
"5001508","Bandeirantes (MS)","Total","35 a 39 anos","504","9","23","104","155","42","35","9","2","3","1","2","119","-"
"5001508","Bandeirantes (MS)","Total","40 a 44 anos","509","8","30","105","156","39","24","15","1","-","2","2","127","-"
"5001508","Bandeirantes (MS)","Total","45 a 49 anos","452","7","22","91","124","46","23","27","3","-","-","1","108","-"
"5001508","Bandeirantes (MS)","Total","50 a 54 anos","396","5","15","86","105","32","28","18","1","1","-","1","104","-"
"5001508","Bandeirantes (MS)","Total","55 a 59 anos","311","3","14","83","78","22","14","16","1","3","3","-","74","-"
"5001508","Bandeirantes (MS)","Total","60 a 69 anos","466","6","15","217","84","24","16","17","1","3","2","1","80","-"
"5001508","Bandeirantes (MS)","Total","70 anos ou mais","341","-","5","260","43","8","9","4","3","-","1","-","8","-"
"5001904","Bataguassu (MS)","Total","10 a 14 anos","1729","111","36","28","13","-","2","-","-","-","-","-","1539","-"
"5001904","Bataguassu (MS)","Total","15 a 19 anos","1789","67","76","350","191","8","-","-","-","-","-","-","1097","-"
"5001904","Bataguassu (MS)","Total","15 a 17 anos","1081","61","63","138","37","1","-","-","-","-","-","-","781","-"
"5001904","Bataguassu (MS)","Total","18 ou 19 anos","708","6","13","212","154","7","-","-","-","-","-","-","316","-"
"5001904","Bataguassu (MS)","Total","20 a 24 anos","1833","26","42","493","599","67","31","4","-","-","-","-","571","-"
"5001904","Bataguassu (MS)","Total","25 a 29 anos","1824","28","67","427","626","137","99","33","2","4","-","-","401","-"
"5001904","Bataguassu (MS)","Total","30 a 34 anos","1676","34","68","369","575","149","93","58","5","4","3","1","317","-"
"5001904","Bataguassu (MS)","Total","35 a 39 anos","1539","25","51","354","486","152","107","63","1","5","1","2","292","-"
"5001904","Bataguassu (MS)","Total","40 a 44 anos","1456","40","56","346","453","114","94","62","4","1","3","-","283","-"
"5001904","Bataguassu (MS)","Total","45 a 49 anos","1298","26","45","304","345","121","111","66","7","7","2","2","262","-"
"5001904","Bataguassu (MS)","Total","50 a 54 anos","1008","10","41","252","232","96","65","56","5","7","1","2","241","-"
"5001904","Bataguassu (MS)","Total","55 a 59 anos","705","6","14","217","183","49","34","34","2","10","2","1","153","-"
"5001904","Bataguassu (MS)","Total","60 a 69 anos","995","6","15","463","193","68","49","46","8","3","5","4","135","-"
"5001904","Bataguassu (MS)","Total","70 anos ou mais","692","-","1","432","125","30","26","19","2","3","-","-","54","-"
"5002001","Batayporã (MS)","Total","10 a 14 anos","1119","73","25","9","3","-","-","-","-","-","-","-","1009","-"
"5002001","Batayporã (MS)","Total","15 a 19 anos","988","67","62","138","82","5","-","1","-","-","-","-","633","-"
"5002001","Batayporã (MS)","Total","15 a 17 anos","628","54","42","52","14","1","-","-","-","-","-","-","465","-"
"5002001","Batayporã (MS)","Total","18 ou 19 anos","360","13","20","86","68","4","-","1","-","-","-","-","168","-"
"5002001","Batayporã (MS)","Total","20 a 24 anos","899","30","40","221","301","37","12","-","-","-","-","-","258","-"
"5002001","Batayporã (MS)","Total","25 a 29 anos","860","32","40","164","315","78","19","13","-","2","-","1","196","-"
"5002001","Batayporã (MS)","Total","30 a 34 anos","824","22","46","143","321","75","39","12","1","2","-","1","162","-"
"5002001","Batayporã (MS)","Total","35 a 39 anos","814","11","46","175","271","64","55","22","1","2","-","-","167","-"
"5002001","Batayporã (MS)","Total","40 a 44 anos","762","16","49","153","230","65","65","24","-","2","1","-","157","-"
"5002001","Batayporã (MS)","Total","45 a 49 anos","717","17","46","168","182","53","48","38","3","1","1","2","158","-"
"5002001","Batayporã (MS)","Total","50 a 54 anos","537","12","31","148","127","44","24","16","1","2","2","-","130","-"
"5002001","Batayporã (MS)","Total","55 a 59 anos","471","14","17","171","93","22","28","19","2","1","1","2","101","-"
"5002001","Batayporã (MS)","Total","60 a 69 anos","667","-","5","370","141","45","24","15","3","1","3","2","58","-"
"5002001","Batayporã (MS)","Total","70 anos ou mais","532","-","2","333","126","22","12","5","-","2","-","2","28","-"
"5002100","Bela Vista (MS)","Total","10 a 14 anos","2416","116","40","31","6","-","-","-","-","-","-","-","2223","-"
"5002100","Bela Vista (MS)","Total","15 a 19 anos","2407","90","121","280","151","12","8","3","-","-","-","-","1742","-"
"5002100","Bela Vista (MS)","Total","15 a 17 anos","1500","63","81","82","15","2","1","-","-","-","-","-","1256","-"
"5002100","Bela Vista (MS)","Total","18 ou 19 anos","907","27","40","198","136","10","7","3","-","-","-","-","486","-"
"5002100","Bela Vista (MS)","Total","20 a 24 anos","1929","61","104","552","274","91","47","25","2","1","-","-","772","-"
"5002100","Bela Vista (MS)","Total","25 a 29 anos","1796","50","108","487","381","72","74","55","1","3","-","2","563","-"
"5002100","Bela Vista (MS)","Total","30 a 34 anos","1689","55","107","444","384","94","86","64","4","3","1","2","445","-"
"5002100","Bela Vista (MS)","Total","35 a 39 anos","1543","49","113","430","316","75","92","82","3","4","2","-","377","-"
"5002100","Bela Vista (MS)","Total","40 a 44 anos","1416","67","117","397","304","59","81","64","4","2","3","2","316","-"
"5002100","Bela Vista (MS)","Total","45 a 49 anos","1299","43","110","340","265","66","74","60","2","8","2","2","327","-"
