"Tabela 3603 - Pessoas de 10 anos ou mais de idade, residentes em domicílios particulares, ocupadas na semana de referência, exclusive as pessoas cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou seu parente, por local de exercício do trabalho principal, segundo a situação do domicílio e as classes de rendimento nominal mensal domiciliar per capita"
"Variável - Pessoas de 10 anos ou mais de idade, residentes em domicílios particulares, ocupadas na semana de referência, cuja condição no domicílio não era pensionista, nem empregado(a) doméstico(a) ou seu parente (Pessoas)"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Ano x Local de exercício do trabalho principal x Situação do domicílio"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","2010"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Total","Município de residência","Município de residência - no domicílio de residência","Município de residência - fora do domicílio de residência","Outro município","País estrangeiro","Mais de um município ou país"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Total","Total","Total","Total","Total","Total","Total"
"1506138","Redenção (PA)","Total","31879","29499","6275","23224","1961","12","407"
"1506161","Rio Maria (PA)","Total","7588","7024","1736","5287","477","-","88"
"1506187","Rondon do Pará (PA)","Total","17252","16624","4553","12071","539","-","89"
"1506195","Rurópolis (PA)","Total","13835","13540","4691","8849","262","13","20"
"1506203","Salinópolis (PA)","Total","16297","15487","3299","12188","755","10","45"
"1506302","Salvaterra (PA)","Total","7161","6963","1150","5813","154","11","32"
"1506351","Santa Bárbara do Pará (PA)","Total","5823","4475","1398","3077","1303","-","45"
"1506401","Santa Cruz do Arari (PA)","Total","2403","2361","491","1869","43","-","-"
"1506500","Santa Izabel do Pará (PA)","Total","22210","18974","5786","13188","3079","-","156"
"1506559","Santa Luzia do Pará (PA)","Total","5874","5427","1689","3738","408","15","24"
"1506583","Santa Maria das Barreiras (PA)","Total","5606","5552","2895","2658","34","-","20"
"1506609","Santa Maria do Pará (PA)","Total","9464","8797","2124","6673","580","-","87"
"1506708","Santana do Araguaia (PA)","Total","19559","19194","6819","12375","298","11","56"
"1506807","Santarém (PA)","Total","113951","110455","31581","78874","2930","114","452"
"1506906","Santarém Novo (PA)","Total","1663","1531","159","1371","126","-","7"
"1507003","Santo Antônio do Tauá (PA)","Total","10095","8817","2075","6741","1255","-","23"
"1507102","São Caetano de Odivelas (PA)","Total","6079","5758","1140","4618","315","-","6"
"1507151","São Domingos do Araguaia (PA)","Total","8787","8038","3267","4771","616","12","121"
"1507201","São Domingos do Capim (PA)","Total","11417","11188","3773","7415","207","-","21"
"1507300","São Félix do Xingu (PA)","Total","31775","31492","17108","14384","110","-","173"
"1507409","São Francisco do Pará (PA)","Total","5267","4664","1379","3285","547","-","56"
