Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (0 a 4 anos + 5 a 9 anos + 10 a 14 anos + 15 anos + 16 anos + 17 anos + 18 anos);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Município;
2105922;Lagoa do Mato (MA);4300
2105948;Lago dos Rodrigues (MA);3027
2105963;Lagoa Grande do Maranhão (MA);4965
2105989;Lajeado Novo (MA);2771
2106003;Lima Campos (MA);4121
2106102;Loreto (MA);4633
2106201;Luís Domingues (MA);2681
2106300;Magalhães de Almeida (MA);7028
2106326;Maracaçumé (MA);8562
2106359;Marajá do Sena (MA);3991
2106375;Maranhãozinho (MA);5574
2106409;Mata Roma (MA);6603
2106508;Matinha (MA);8613
2106607;Matões (MA);13468
2106631;Matões do Norte (MA);5732
2106672;Milagres do Maranhão (MA);3708
2106706;Mirador (MA);8890
2106755;Miranda do Norte (MA);8962
2106805;Mirinzal (MA);5717
2106904;Monção (MA);14636
2107001;Montes Altos (MA);3817
2107100;Morros (MA);8445
2107209;Nina Rodrigues (MA);6094
2107258;Nova Colinas (MA);2174
2107308;Nova Iorque (MA);1763
2107357;Nova Olinda do Maranhão (MA);7974
2107407;Olho d'Água das Cunhãs (MA);6968
2107456;Olinda Nova do Maranhão (MA);5375
2107506;Paço do Lumiar (MA);36190
2107605;Palmeirândia (MA);7328
2107704;Paraibano (MA);7721
2107803;Parnarama (MA);14453
2107902;Passagem Franca (MA);7155
2108009;Pastos Bons (MA);7263
2108058;Paulino Neves (MA);7076
2108108;Paulo Ramos (MA);8604
2108207;Pedreiras (MA);13943
2108256;Pedro do Rosário (MA);10518
2108306;Penalva (MA);15345
2108405;Peri Mirim (MA);4897
2108454;Peritoró (MA);8812
2108504;Pindaré-Mirim (MA);12662
2108603;Pinheiro (MA);29678
2108702;Pio XII (MA);9322
2108801;Pirapemas (MA);7668
2108900;Poção de Pedras (MA);7343
2109007;Porto Franco (MA);8224
2109056;Porto Rico do Maranhão (MA);2225
2109106;Presidente Dutra (MA);16547
2109205;Presidente Juscelino (MA);5577
2109239;Presidente Médici (MA);2642
2109270;Presidente Sarney (MA);7741
2109304;Presidente Vargas (MA);5049
2109403;Primeira Cruz (MA);6680
2109452;Raposa (MA);10548
2109502;Riachão (MA);8278
2109551;Ribamar Fiquene (MA);3027
2109601;Rosário (MA);15595
2109700;Sambaíba (MA);2321
2109759;Santa Filomena do Maranhão (MA);3066
2109809;Santa Helena (MA);16002
2109908;Santa Inês (MA);29484
2110005;Santa Luzia (MA);32960
2110039;Santa Luzia do Paruá (MA);9227
2110104;Santa Quitéria do Maranhão (MA);13135
2110203;Santa Rita (MA);12595
2110237;Santana do Maranhão (MA);5071
2110278;Santo Amaro do Maranhão (MA);6590
2110302;Santo Antônio dos Lopes (MA);5482
2110401;São Benedito do Rio Preto (MA);8502
2110500;São Bento (MA);14538
2110609;São Bernardo (MA);11148
2110658;São Domingos do Azeitão (MA);3000
2110708;São Domingos do Maranhão (MA);13584
2110807;São Félix de Balsas (MA);1818
2110856;São Francisco do Brejão (MA);4271
2110906;São Francisco do Maranhão (MA);4721
2111003;São João Batista (MA);7588
2111029;São João do Carú (MA);5848
2111052;São João do Paraíso (MA);4372
2111078;São João do Soter (MA);7603
2111102;São João dos Patos (MA);8904
2111201;São José de Ribamar (MA);58390
2111250;São José dos Basílios (MA);3101
2111300;São Luís (MA);317892
2111409;São Luís Gonzaga do Maranhão (MA);8162
2111508;São Mateus do Maranhão (MA);15960
2111532;São Pedro da Água Branca (MA);5103
2111573;São Pedro dos Crentes (MA);1865
2111607;São Raimundo das Mangabeiras (MA);7157
2111631;São Raimundo do Doca Bezerra (MA);2706
2111672;São Roberto (MA);2543
2111706;São Vicente Ferrer (MA);8394
2111722;Satubinha (MA);5487
2111748;Senador Alexandre Costa (MA);4389
2111763;Senador La Rocque (MA);7515
2111789;Serrano do Maranhão (MA);4820
2111805;Sítio Novo (MA);7060
2111904;Sucupira do Norte (MA);4203
2111953;Sucupira do Riachão (MA);1838
2112001;Tasso Fragoso (MA);3528
2112100;Timbiras (MA);11975
2112209;Timon (MA);57111
2112233;Trizidela do Vale (MA);6841
2112274;Tufilândia (MA);2564
2112308;Tuntum (MA);15922
2112407;Turiaçu (MA);15693
