"Tabela 3604 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país, por tempo habitual de deslocamento do domicílio para o trabalho principal, segundo a situação do domicílio e os grupos de horas habitualmente trabalhadas por semana no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país (Pessoas)"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Ano x Tempo habitual de deslocamento do domicílio para o trabalho principal x Situação do domicílio"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","2010"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Até cinco minutos","De seis minutos até meia hora","Mais de meia hora até uma hora","Mais de uma hora até duas horas","Mais de duas horas"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Total","Total","Total","Total","Total"
"1504604","Mocajuba (PA)","Total","1931","3876","1024","301","86"
"1504703","Moju (PA)","Total","3163","9925","3191","1090","239"
"1504802","Monte Alegre (PA)","Total","2341","7789","1498","296","114"
"1504901","Muaná (PA)","Total","1580","4443","1002","358","169"
"1504950","Nova Esperança do Piriá (PA)","Total","909","1771","512","275","101"
"1504976","Nova Ipixuna (PA)","Total","719","2086","405","73","67"
"1505007","Nova Timboteua (PA)","Total","849","2064","457","96","28"
"1505031","Novo Progresso (PA)","Total","1636","4616","637","235","193"
"1505064","Novo Repartimento (PA)","Total","2271","7584","1332","198","78"
"1505106","Óbidos (PA)","Total","2562","6115","1544","487","339"
"1505205","Oeiras do Pará (PA)","Total","850","2883","585","336","246"
"1505304","Oriximiná (PA)","Total","2652","7064","1597","328","184"
"1505403","Ourém (PA)","Total","1003","2292","454","134","67"
"1505437","Ourilândia do Norte (PA)","Total","911","4592","1238","128","51"
"1505486","Pacajá (PA)","Total","1633","3817","589","174","169"
"1505494","Palestina do Pará (PA)","Total","539","825","114","98","28"
"1505502","Paragominas (PA)","Total","4577","15393","2824","1756","578"
"1505536","Parauapebas (PA)","Total","4168","20398","11179","6641","1913"
"1505551","Pau D'Arco (PA)","Total","340","419","57","33","14"
"1505601","Peixe-Boi (PA)","Total","480","1068","259","98","25"
"1505635","Piçarra (PA)","Total","661","989","255","52","76"
"1505650","Placas (PA)","Total","755","1875","470","126","142"
"1505700","Ponta de Pedras (PA)","Total","1574","2368","385","98","175"
"1505809","Portel (PA)","Total","2560","5059","785","167","111"
"1505908","Porto de Moz (PA)","Total","1038","4045","1121","304","244"
"1506005","Prainha (PA)","Total","1255","1925","618","539","374"
"1506104","Primavera (PA)","Total","598","1449","491","236","35"
"1506112","Quatipuru (PA)","Total","539","1141","520","230","181"
"1506138","Redenção (PA)","Total","4421","14925","1456","373","265"
"1506161","Rio Maria (PA)","Total","1524","2533","433","285","86"
"1506187","Rondon do Pará (PA)","Total","2349","6140","1023","280","82"
"1506195","Rurópolis (PA)","Total","1938","4905","494","120","43"
"1506203","Salinópolis (PA)","Total","2154","8109","1263","277","94"
"1506302","Salvaterra (PA)","Total","1442","3353","404","140","99"
"1506351","Santa Bárbara do Pará (PA)","Total","788","1922","535","538","116"
"1506401","Santa Cruz do Arari (PA)","Total","154","622","201","115","29"
"1506500","Santa Izabel do Pará (PA)","Total","2382","9634","2047","928","169"
"1506559","Santa Luzia do Pará (PA)","Total","724","2114","493","157","74"
"1506583","Santa Maria das Barreiras (PA)","Total","625","1091","304","86","35"
"1506609","Santa Maria do Pará (PA)","Total","1496","4170","735","234","91"
"1506708","Santana do Araguaia (PA)","Total","2169","6527","1333","302","59"
"1506807","Santarém (PA)","Total","11839","46348","12066","2294","1020"
"1506906","Santarém Novo (PA)","Total","302","812","202","68","7"
"1507003","Santo Antônio do Tauá (PA)","Total","2014","3545","958","545","98"
"1507102","São Caetano de Odivelas (PA)","Total","877","2297","556","150","96"
"1507151","São Domingos do Araguaia (PA)","Total","1412","2332","546","150","10"
"1507201","São Domingos do Capim (PA)","Total","1521","3778","1304","502","109"
